Notebook_Timestamp_Neck,"Quaternion_Orientation_(W, X, Y, Z)_Neck",Sensor_Timestamp,Status_Neck,Label_Neck,Notebook_Timestamp_Back,"Quaternion_Orientation_(W, X, Y, Z)_Back",Status_Back,Label_Back
18:22:18.782000,"(0.8544884920120239, -0.18208973109722137, -0.2166212499141693, -0.4356239140033722)",0 days 00:00:02.661972,10010100,neck_bad_8,18:22:18.791000,"(0.3717232346534729, -0.5787962079048157, -0.0780896246433258, -0.7216088175773621)",00000100,back_bad_8
18:22:18.797000,"(0.8545700907707214, -0.1820985972881317, -0.2163558155298233, -0.4355928301811218)",0 days 00:00:02.681986,10010100,neck_bad_8,18:22:18.806000,"(0.37179675698280334, -0.5786964893341064, -0.07816087454557419, -0.7216432094573975)",00000100,back_bad_8
18:22:18.812000,"(0.8546037077903748, -0.18203003704547882, -0.2162407785654068, -0.4356134831905365)",0 days 00:00:02.702002,10010100,neck_bad_8,18:22:18.836000,"(0.37177038192749023, -0.5786899924278259, -0.07820675522089005, -0.7216574549674988)",00000100,back_bad_8
18:22:18.842000,"(0.8546369671821594, -0.1818993091583252, -0.2161765843629837, -0.4356355369091034)",0 days 00:00:02.722017,10010100,neck_bad_8,18:22:18.838000,"(0.3716464042663574, -0.578768253326416, -0.07821089029312134, -0.7216581106185913)",00000100,back_bad_8
18:22:18.857000,"(0.8546196222305298, -0.1818544566631317, -0.21611817181110382, -0.4357176721096039)",0 days 00:00:02.742033,10010100,neck_bad_8,18:22:18.851000,"(0.37150803208351135, -0.578801155090332, -0.07819339632987976, -0.7217050194740295)",00000100,back_bad_8
18:22:18.872000,"(0.8545616865158081, -0.18184593319892883, -0.21609710156917572, -0.43584582209587097)",0 days 00:00:02.762047,10010100,neck_bad_8,18:22:18.881000,"(0.3714020550251007, -0.5787835717201233, -0.07815621793270111, -0.7217777967453003)",00000100,back_bad_8
18:22:18.902000,"(0.8545029759407043, -0.1818687468767166, -0.21600855886936188, -0.43599578738212585)",0 days 00:00:02.782063,10010100,neck_bad_8,18:22:18.896000,"(0.37129396200180054, -0.5787732601165771, -0.07805120199918747, -0.7218533158302307)",00000100,back_bad_8
18:22:18.917000,"(0.8544091582298279, -0.1819280982017517, -0.21586300432682037, -0.4362272322177887)",0 days 00:00:02.802076,10010100,neck_bad_8,18:22:18.911000,"(0.371157705783844, -0.5787956714630127, -0.0779508650302887, -0.7219166159629822)",00000100,back_bad_8
18:22:19.019000,"(0.8543447852134705, -0.18194976449012756, -0.21575868129730225, -0.43639639019966125)",0 days 00:00:02.822090,10010100,neck_bad_8,18:22:19.001000,"(0.37101516127586365, -0.5788282155990601, -0.07785674184560776, -0.7219743728637695)",00000100,back_bad_8
18:22:19.094000,"(0.8543164730072021, -0.1819477528333664, -0.21567878127098083, -0.43649178743362427)",0 days 00:00:02.842107,10010100,neck_bad_8,18:22:19.002000,"(0.37084344029426575, -0.5789005756378174, -0.07771669328212738, -0.7220196723937988)",00000100,back_bad_8
18:22:19.169000,"(0.8543093204498291, -0.18194372951984406, -0.21561108529567719, -0.43653643131256104)",0 days 00:00:02.862123,10010100,neck_bad_8,18:22:19.031000,"(0.3709524869918823, -0.5789284706115723, -0.07777866721153259, -0.7219326496124268)",00000100,back_bad_8
18:22:19.282000,"(0.854315996170044, -0.1819557249546051, -0.21554671227931976, -0.4365501403808594)",0 days 00:00:02.882136,10010100,neck_bad_8,18:22:19.032000,"(0.3708573579788208, -0.5789394378662109, -0.07770073413848877, -0.7219813466072083)",00000100,back_bad_8
18:22:19.356000,"(0.8543354868888855, -0.18204517662525177, -0.21534256637096405, -0.43657591938972473)",0 days 00:00:02.902151,10010100,neck_bad_8,18:22:19.047000,"(0.37076711654663086, -0.5789412260055542, -0.07761481404304504, -0.7220355868339539)",00000100,back_bad_8
18:22:19.506000,"(0.8543262481689453, -0.18221373856067657, -0.2150798887014389, -0.4366537034511566)",0 days 00:00:02.922167,10010100,neck_bad_8,18:22:19.061000,"(0.370700865983963, -0.5789378881454468, -0.07756108045578003, -0.7220780849456787)",00000100,back_bad_8
18:22:19.581000,"(0.8543605804443359, -0.1822822540998459, -0.2148818075656891, -0.43665584921836853)",0 days 00:00:02.942180,10010100,neck_bad_8,18:22:19.063000,"(0.37065333127975464, -0.5789216756820679, -0.07751515507698059, -0.7221207022666931)",00000100,back_bad_8
